symbol,date,price
Competition 1,Jan 2000,39.81
Competition 1,Feb 2000,36.35
Competition 1,Mar 2000,43.22
Competition 1,Apr 2000,28.37
Competition 1,May 2000,25.45
Competition 1,Jun 2000,32.54
Competition 1,Jul 2000,28.4
Competition 1,Aug 2000,28.4
Competition 1,Sep 2000,24.53
Competition 1,Oct 2000,28.02
Competition 1,Nov 2000,23.34
Competition 1,Dec 2000,17.65
Competition 1,Jan 2001,24.84
Competition 1,Feb 2001,24
Competition 1,Mar 2001,22.25
Competition 1,Apr 2001,27.56
Competition 1,May 2001,28.14
Competition 1,Jun 2001,29.7
Competition 1,Jul 2001,26.93
Competition 1,Aug 2001,23.21
Competition 1,Sep 2001,20.82
Competition 1,Oct 2001,23.65
Competition 1,Nov 2001,26.12
Competition 1,Dec 2001,26.95
Competition 1,Jan 2002,25.92
Competition 1,Feb 2002,23.73
Competition 1,Mar 2002,24.53
Competition 1,Apr 2002,21.26
Competition 1,May 2002,20.71
Competition 1,Jun 2002,22.25
Competition 1,Jul 2002,19.52
Competition 1,Aug 2002,19.97
Competition 1,Sep 2002,17.79
Competition 1,Oct 2002,21.75
Competition 1,Nov 2002,23.46
Competition 1,Dec 2002,21.03
Competition 1,Jan 2003,19.31
Competition 1,Feb 2003,19.34
Competition 1,Mar 2003,19.76
Competition 1,Apr 2003,20.87
Competition 1,May 2003,20.09
Competition 1,Jun 2003,20.93
Competition 1,Jul 2003,21.56
Competition 1,Aug 2003,21.65
Competition 1,Sep 2003,22.69
Competition 1,Oct 2003,21.45
Competition 1,Nov 2003,21.1
Competition 1,Dec 2003,22.46
Competition 1,Jan 2004,22.69
Competition 1,Feb 2004,21.77
Competition 1,Mar 2004,20.46
Competition 1,Apr 2004,21.45
Competition 1,May 2004,21.53
Competition 1,Jun 2004,23.44
Competition 1,Jul 2004,23.38
Competition 1,Aug 2004,22.47
Competition 1,Sep 2004,22.76
Competition 1,Oct 2004,23.02
Competition 1,Nov 2004,24.6
Competition 1,Dec 2004,24.52
Competition 1,Jan 2005,24.11
Competition 1,Feb 2005,23.15
Competition 1,Mar 2005,22.24
Competition 1,Apr 2005,23.28
Competition 1,May 2005,23.82
Competition 1,Jun 2005,22.93
Competition 1,Jul 2005,23.64
Competition 1,Aug 2005,25.35
Competition 1,Sep 2005,23.83
Competition 1,Oct 2005,23.8
Competition 1,Nov 2005,25.71
Competition 1,Dec 2005,24.29
Competition 1,Jan 2006,26.14
Competition 1,Feb 2006,25.04
Competition 1,Mar 2006,25.36
Competition 1,Apr 2006,22.5
Competition 1,May 2006,21.19
Competition 1,Jun 2006,21.8
Competition 1,Jul 2006,22.51
Competition 1,Aug 2006,24.13
Competition 1,Sep 2006,25.68
Competition 1,Oct 2006,26.96
Competition 1,Nov 2006,27.66
Competition 1,Dec 2006,28.13
Competition 1,Jan 2007,29.07
Competition 1,Feb 2007,26.63
Competition 1,Mar 2007,26.35
Competition 1,Apr 2007,28.3
Competition 1,May 2007,29.11
Competition 1,Jun 2007,27.95
Competition 1,Jul 2007,27.5
Competition 1,Aug 2007,27.34
Competition 1,Sep 2007,28.04
Competition 1,Oct 2007,35.03
Competition 1,Nov 2007,32.09
Competition 1,Dec 2007,34
Competition 1,Jan 2008,31.13
Competition 1,Feb 2008,26.07
Competition 1,Mar 2008,27.21
Competition 1,Apr 2008,27.34
Competition 1,May 2008,27.25
Competition 1,Jun 2008,26.47
Competition 1,Jul 2008,24.75
Competition 1,Aug 2008,26.36
Competition 1,Sep 2008,25.78
Competition 1,Oct 2008,21.57
Competition 1,Nov 2008,19.66
Competition 1,Dec 2008,18.91
Competition 1,Jan 2009,16.63
Competition 1,Feb 2009,15.81
Competition 1,Mar 2009,17.99
Competition 1,Apr 2009,19.84
Competition 1,May 2009,20.59
Competition 1,Jun 2009,23.42
Competition 1,Jul 2009,23.18
Competition 1,Aug 2009,24.43
Competition 1,Sep 2009,25.49
Competition 1,Oct 2009,27.48
Competition 1,Nov 2009,29.27
Competition 1,Dec 2009,30.34
Competition 1,Jan 2010,28.05
Competition 1,Feb 2010,28.67
Competition 1,Mar 2010,28.8
Competition 2,Jan 2000,64.56
Competition 2,Feb 2000,68.87
Competition 2,Mar 2000,67
Competition 2,Apr 2000,55.19
Competition 2,May 2000,48.31
Competition 2,Jun 2000,36.31
Competition 2,Jul 2000,30.12
Competition 2,Aug 2000,41.5
Competition 2,Sep 2000,38.44
Competition 2,Oct 2000,36.62
Competition 2,Nov 2000,24.69
Competition 2,Dec 2000,15.56
Competition 2,Jan 2001,17.31
Competition 2,Feb 2001,10.19
Competition 2,Mar 2001,10.23
Competition 2,Apr 2001,15.78
Competition 2,May 2001,16.69
Competition 2,Jun 2001,14.15
Competition 2,Jul 2001,12.49
Competition 2,Aug 2001,8.94
Competition 2,Sep 2001,5.97
Competition 2,Oct 2001,6.98
Competition 2,Nov 2001,11.32
Competition 2,Dec 2001,10.82
Competition 2,Jan 2002,14.19
Competition 2,Feb 2002,14.1
Competition 2,Mar 2002,14.3
Competition 2,Apr 2002,16.69
Competition 2,May 2002,18.23
Competition 2,Jun 2002,16.25
Competition 2,Jul 2002,14.45
Competition 2,Aug 2002,14.94
Competition 2,Sep 2002,15.93
Competition 2,Oct 2002,19.36
Competition 2,Nov 2002,23.35
Competition 2,Dec 2002,18.89
Competition 2,Jan 2003,21.85
Competition 2,Feb 2003,22.01
Competition 2,Mar 2003,26.03
Competition 2,Apr 2003,28.69
Competition 2,May 2003,35.89
Competition 2,Jun 2003,36.32
Competition 2,Jul 2003,41.64
Competition 2,Aug 2003,46.32
Competition 2,Sep 2003,48.43
Competition 2,Oct 2003,54.43
Competition 2,Nov 2003,53.97
Competition 2,Dec 2003,52.62
Competition 2,Jan 2004,50.4
Competition 2,Feb 2004,43.01
Competition 2,Mar 2004,43.28
Competition 2,Apr 2004,43.6
Competition 2,May 2004,48.5
Competition 2,Jun 2004,54.4
Competition 2,Jul 2004,38.92
Competition 2,Aug 2004,38.14
Competition 2,Sep 2004,40.86
Competition 2,Oct 2004,34.13
Competition 2,Nov 2004,39.68
Competition 2,Dec 2004,44.29
Competition 2,Jan 2005,43.22
Competition 2,Feb 2005,35.18
Competition 2,Mar 2005,34.27
Competition 2,Apr 2005,32.36
Competition 2,May 2005,35.51
Competition 2,Jun 2005,33.09
Competition 2,Jul 2005,45.15
Competition 2,Aug 2005,42.7
Competition 2,Sep 2005,45.3
Competition 2,Oct 2005,39.86
Competition 2,Nov 2005,48.46
Competition 2,Dec 2005,47.15
Competition 2,Jan 2006,44.82
Competition 2,Feb 2006,37.44
Competition 2,Mar 2006,36.53
Competition 2,Apr 2006,35.21
Competition 2,May 2006,34.61
Competition 2,Jun 2006,38.68
Competition 2,Jul 2006,26.89
Competition 2,Aug 2006,30.83
Competition 2,Sep 2006,32.12
Competition 2,Oct 2006,38.09
Competition 2,Nov 2006,40.34
Competition 2,Dec 2006,39.46
Competition 2,Jan 2007,37.67
Competition 2,Feb 2007,39.14
Competition 2,Mar 2007,39.79
Competition 2,Apr 2007,61.33
Competition 2,May 2007,69.14
Competition 2,Jun 2007,68.41
Competition 2,Jul 2007,78.54
Competition 2,Aug 2007,79.91
Competition 2,Sep 2007,93.15
Competition 2,Oct 2007,89.15
Competition 2,Nov 2007,90.56
Competition 2,Dec 2007,92.64
Competition 2,Jan 2008,77.7
Competition 2,Feb 2008,64.47
Competition 2,Mar 2008,71.3
Competition 2,Apr 2008,78.63
Competition 2,May 2008,81.62
Competition 2,Jun 2008,73.33
Competition 2,Jul 2008,76.34
Competition 2,Aug 2008,80.81
Competition 2,Sep 2008,72.76
Competition 2,Oct 2008,57.24
Competition 2,Nov 2008,42.7
Competition 2,Dec 2008,51.28
Competition 2,Jan 2009,58.82
Competition 2,Feb 2009,64.79
Competition 2,Mar 2009,73.44
Competition 2,Apr 2009,80.52
Competition 2,May 2009,77.99
Competition 2,Jun 2009,83.66
Competition 2,Jul 2009,85.76
Competition 2,Aug 2009,81.19
Competition 2,Sep 2009,93.36
Competition 2,Oct 2009,118.81
Competition 2,Nov 2009,135.91
Competition 2,Dec 2009,134.52
Competition 2,Jan 2010,125.41
Competition 2,Feb 2010,118.4
Competition 2,Mar 2010,128.82
Your Company,Jan 2000,100.52
Your Company,Feb 2000,92.11
Your Company,Mar 2000,106.11
Your Company,Apr 2000,99.95
Your Company,May 2000,96.31
Your Company,Jun 2000,98.33
Your Company,Jul 2000,100.74
Your Company,Aug 2000,118.62
Your Company,Sep 2000,101.19
Your Company,Oct 2000,88.5
Your Company,Nov 2000,84.12
Your Company,Dec 2000,76.47
Your Company,Jan 2001,100.76
Your Company,Feb 2001,89.98
Your Company,Mar 2001,86.63
Your Company,Apr 2001,103.7
Your Company,May 2001,100.82
Your Company,Jun 2001,102.35
Your Company,Jul 2001,94.87
Your Company,Aug 2001,90.25
Your Company,Sep 2001,82.82
Your Company,Oct 2001,97.58
Your Company,Nov 2001,104.5
Your Company,Dec 2001,109.36
Your Company,Jan 2002,97.54
Your Company,Feb 2002,88.82
Your Company,Mar 2002,94.15
Your Company,Apr 2002,75.82
Your Company,May 2002,72.97
Your Company,Jun 2002,65.31
Your Company,Jul 2002,63.86
Your Company,Aug 2002,68.52
Your Company,Sep 2002,53.01
Your Company,Oct 2002,71.76
Your Company,Nov 2002,79.16
Your Company,Dec 2002,70.58
Your Company,Jan 2003,71.22
Your Company,Feb 2003,71.13
Your Company,Mar 2003,71.57
Your Company,Apr 2003,77.47
Your Company,May 2003,80.48
Your Company,Jun 2003,75.42
Your Company,Jul 2003,74.28
Your Company,Aug 2003,75.12
Your Company,Sep 2003,80.91
Your Company,Oct 2003,81.96
Your Company,Nov 2003,83.08
Your Company,Dec 2003,85.05
Your Company,Jan 2004,91.06
Your Company,Feb 2004,88.7
Your Company,Mar 2004,84.41
Your Company,Apr 2004,81.04
Your Company,May 2004,81.59
Your Company,Jun 2004,81.19
Your Company,Jul 2004,80.19
Your Company,Aug 2004,78.17
Your Company,Sep 2004,79.13
Your Company,Oct 2004,82.84
Your Company,Nov 2004,87.15
Your Company,Dec 2004,91.16
Your Company,Jan 2005,86.39
Your Company,Feb 2005,85.78
Your Company,Mar 2005,84.66
Your Company,Apr 2005,70.77
Your Company,May 2005,70.18
Your Company,Jun 2005,68.93
Your Company,Jul 2005,77.53
Your Company,Aug 2005,75.07
Your Company,Sep 2005,74.7
Your Company,Oct 2005,76.25
Your Company,Nov 2005,82.98
Your Company,Dec 2005,76.73
Your Company,Jan 2006,75.89
Your Company,Feb 2006,75.09
Your Company,Mar 2006,77.17
Your Company,Apr 2006,77.05
Your Company,May 2006,75.04
Your Company,Jun 2006,72.15
Your Company,Jul 2006,72.7
Your Company,Aug 2006,76.35
Your Company,Sep 2006,77.26
Your Company,Oct 2006,87.06
Your Company,Nov 2006,86.95
Your Company,Dec 2006,91.9
Your Company,Jan 2007,93.79
Your Company,Feb 2007,88.18
Your Company,Mar 2007,89.44
Your Company,Apr 2007,96.98
Your Company,May 2007,101.54
Your Company,Jun 2007,100.25
Your Company,Jul 2007,105.4
Your Company,Aug 2007,111.54
Your Company,Sep 2007,112.6
Your Company,Oct 2007,111
Your Company,Nov 2007,100.9
Your Company,Dec 2007,103.7
Your Company,Jan 2008,102.75
Your Company,Feb 2008,109.64
Your Company,Mar 2008,110.87
Your Company,Apr 2008,116.23
Your Company,May 2008,125.14
Your Company,Jun 2008,114.6
Your Company,Jul 2008,123.74
Your Company,Aug 2008,118.16
Your Company,Sep 2008,113.53
Your Company,Oct 2008,90.24
Your Company,Nov 2008,79.65
Your Company,Dec 2008,82.15
Your Company,Jan 2009,89.46
Your Company,Feb 2009,90.32
Your Company,Mar 2009,95.09
Your Company,Apr 2009,101.29
Your Company,May 2009,104.85
Your Company,Jun 2009,103.01
Your Company,Jul 2009,116.34
Your Company,Aug 2009,117
Your Company,Sep 2009,118.55
Your Company,Oct 2009,119.54
Your Company,Nov 2009,125.79
Your Company,Dec 2009,130.32
Your Company,Jan 2010,121.85
Your Company,Feb 2010,127.16
Your Company,Mar 2010,125.55
Competition 3,Jan 2000,25.94
Competition 3,Feb 2000,28.66
Competition 3,Mar 2000,33.95
Competition 3,Apr 2000,31.01
Competition 3,May 2000,21
Competition 3,Jun 2000,26.19
Competition 3,Jul 2000,25.41
Competition 3,Aug 2000,30.47
Competition 3,Sep 2000,12.88
Competition 3,Oct 2000,9.78
Competition 3,Nov 2000,8.25
Competition 3,Dec 2000,7.44
Competition 3,Jan 2001,10.81
Competition 3,Feb 2001,9.12
Competition 3,Mar 2001,11.03
Competition 3,Apr 2001,12.74
Competition 3,May 2001,9.98
Competition 3,Jun 2001,11.62
Competition 3,Jul 2001,9.4
Competition 3,Aug 2001,9.27
Competition 3,Sep 2001,7.76
Competition 3,Oct 2001,8.78
Competition 3,Nov 2001,10.65
Competition 3,Dec 2001,10.95
Competition 3,Jan 2002,12.36
Competition 3,Feb 2002,10.85
Competition 3,Mar 2002,11.84
Competition 3,Apr 2002,12.14
Competition 3,May 2002,11.65
Competition 3,Jun 2002,8.86
Competition 3,Jul 2002,7.63
Competition 3,Aug 2002,7.38
Competition 3,Sep 2002,7.25
Competition 3,Oct 2002,8.03
Competition 3,Nov 2002,7.75
Competition 3,Dec 2002,7.16
Competition 3,Jan 2003,7.18
Competition 3,Feb 2003,7.51
Competition 3,Mar 2003,7.07
Competition 3,Apr 2003,7.11
Competition 3,May 2003,8.98
Competition 3,Jun 2003,9.53
Competition 3,Jul 2003,10.54
Competition 3,Aug 2003,11.31
Competition 3,Sep 2003,10.36
Competition 3,Oct 2003,11.44
Competition 3,Nov 2003,10.45
Competition 3,Dec 2003,10.69
Competition 3,Jan 2004,11.28
Competition 3,Feb 2004,11.96
Competition 3,Mar 2004,13.52
Competition 3,Apr 2004,12.89
Competition 3,May 2004,14.03
Competition 3,Jun 2004,16.27
Competition 3,Jul 2004,16.17
Competition 3,Aug 2004,17.25
Competition 3,Sep 2004,19.38
Competition 3,Oct 2004,26.2
Competition 3,Nov 2004,33.53
Competition 3,Dec 2004,32.2
Competition 3,Jan 2005,38.45
Competition 3,Feb 2005,44.86
Competition 3,Mar 2005,41.67
Competition 3,Apr 2005,36.06
Competition 3,May 2005,39.76
Competition 3,Jun 2005,36.81
Competition 3,Jul 2005,42.65
Competition 3,Aug 2005,46.89
Competition 3,Sep 2005,53.61
Competition 3,Oct 2005,57.59
Competition 3,Nov 2005,67.82
Competition 3,Dec 2005,71.89
Competition 3,Jan 2006,75.51
Competition 3,Feb 2006,68.49
Competition 3,Mar 2006,62.72
Competition 3,Apr 2006,70.39
Competition 3,May 2006,59.77
Competition 3,Jun 2006,57.27
Competition 3,Jul 2006,67.96
Competition 3,Aug 2006,67.85
Competition 3,Sep 2006,76.98
Competition 3,Oct 2006,81.08
Competition 3,Nov 2006,91.66
Competition 3,Dec 2006,84.84
Competition 3,Jan 2007,85.73
Competition 3,Feb 2007,84.61
Competition 3,Mar 2007,92.91
Competition 3,Apr 2007,99.8
Competition 3,May 2007,121.19
Competition 3,Jun 2007,122.04
Competition 3,Jul 2007,131.76
Competition 3,Aug 2007,138.48
Competition 3,Sep 2007,153.47
Competition 3,Oct 2007,189.95
Competition 3,Nov 2007,182.22
Competition 3,Dec 2007,198.08
Competition 3,Jan 2008,135.36
Competition 3,Feb 2008,125.02
Competition 3,Mar 2008,143.5
Competition 3,Apr 2008,173.95
Competition 3,May 2008,188.75
Competition 3,Jun 2008,167.44
Competition 3,Jul 2008,158.95
Competition 3,Aug 2008,169.53
Competition 3,Sep 2008,113.66
Competition 3,Oct 2008,107.59
Competition 3,Nov 2008,92.67
Competition 3,Dec 2008,85.35
Competition 3,Jan 2009,90.13
Competition 3,Feb 2009,89.31
Competition 3,Mar 2009,105.12
Competition 3,Apr 2009,125.83
Competition 3,May 2009,135.81
Competition 3,Jun 2009,142.43
Competition 3,Jul 2009,163.39
Competition 3,Aug 2009,168.21
Competition 3,Sep 2009,185.35
Competition 3,Oct 2009,188.5
Competition 3,Nov 2009,199.91
Competition 3,Dec 2009,210.73
Competition 3,Jan 2010,192.06
Competition 3,Feb 2010,204.62
Competition 3,Mar 2010,223.02
